設立單位類型,服務里別,地點,地址,Latitude,Longitude
其他(人民團體、社區發展協會、學校),藍埔里、坑尾里,桃園市觀音區藍埔社區發展協會,桃園市觀音區藍埔里新華路一段711號,24.9968693,121.116643
其他(人民團體、社區發展協會、學校),廣福里、大同里、草漯里,桃園市觀音區廣福社區發展協會,桃園市觀音區廣福里福山路2段403巷6號,25.0277659,121.153825
其他(人民團體、社區發展協會、學校),樹林里、草漯里,桃園市觀音區樹林社區發展協會,桃園市觀音區樹林里泰安街209號,25.050683,121.1231633
其他(人民團體、社區發展協會、學校),富林里,桃園市觀音區富林社區發展協會,桃園市觀音區富林里大觀路三段463號,25.0363208,121.1206255
其他(人民團體、社區發展協會、學校),富源里、上大里,桃園市觀音區富源社區發展協會,桃園市觀音區富源里新富路801巷65號,24.9748565,121.1381531
里辦公處,普仁里,桃園市中壢區普仁里辦公處,桃園市中壢區普仁里日新路20號,24.9540583,121.2386621
里辦公處,光明里,桃園市中壢區光明里辦公處,桃園市中壢區光明里新明路223號,24.9622244,121.2169784
里辦公處,龍平里、龍安里、龍冬里、龍友里、忠貞里,桃園市中壢區龍平里辦公處,桃園市中壢區龍平里龍平七街30號,24.9308993,121.2554881
里辦公處,忠義里,桃園市中壢區忠義里辦公處,桃園市中壢區忠義里忠義路69之1號,24.9621603,121.2392455
里辦公處,自立里,桃園市中壢區自立里辦公處,桃園市中壢區自立里自立五街82號2樓,24.9663424,121.251646
里辦公處,華愛里、仁美里、仁愛里,桃園市中壢區華愛里辦公處,桃園市中壢區華愛里華勛街37巷11號1樓,24.9518235,121.2578817
里辦公處,福德里、內壢里、成功里,桃園市中壢區福德里辦公處,桃園市中壢區福德里9鄰成功路79巷54號,24.9752992,121.2586288
里辦公處,內厝里、芝芭里、月眉里,桃園市中壢區內厝里辦公處,桃園市中壢區內厝里9鄰崇德路99號,24.9888234,121.1813294
里辦公處,仁和里、仁德里、華愛里、仁祥里、華勛里,桃園市中壢區仁和里辦公處,桃園市中壢區仁和里17鄰仁德四街96號,24.9527708,121.2620584
里辦公處,中山里,桃園市中壢區中山里辦公處,桃園市中壢區中山里榮民路396號,24.9617283,121.2616131
里辦公處,普義里,桃園市中壢區普義里辦公處,桃園市中壢區普義里立和路29號,24.9589752,121.2307895
里辦公處,仁祥里,桃園市中壢區仁祥里辦公處,桃園市中壢區仁祥里華祥一街21號,24.9578929,121.227379
里辦公處,龍岡里、龍東里,桃園市中壢區龍岡里辦公處,桃園市中壢區龍岡里龍岡路3段742號,24.9262174,121.2433095
里辦公處,龍德里,桃園市中壢區龍德里辦公處,桃園市中壢區龍德里龍吉二街153號,24.9363953,121.2368487
里辦公處,龍慈里、龍昌里、至善里,桃園市中壢區龍慈里辦公處,桃園市中壢區龍慈里後寮一路230號,24.9380522,121.2463008
其他(人民團體、社區發展協會、學校),興仁里,桃園市中壢區興仁社區發展協會,桃園市中壢區興仁里榮光街11號,24.9654618,121.2620428
其他(人民團體、社區發展協會、學校),復興里、文化里,中華光明之家共生家園協會(復興據點),桃園市中壢區復興里10鄰長樂街39號,24.9777978,121.2497058
其他(人民團體、社區發展協會、學校),永福里、忠福里、幸福里,桃園市中壢區永福社區發展協會,桃園市中壢區永福里南園二路90號,24.9720159,121.2333325
其他(人民團體、社區發展協會、學校),東興里、健行里,桃園市中壢區東興社區發展協會,桃園市中壢區東興里中北路二段76巷10號,24.9499161,121.2252159
其他(人民團體、社區發展協會、學校),中央里,桃園市松鶴會,桃園區中壢區中央里元化路182-2號,24.9601041,121.227427
其他(人民團體、社區發展協會、學校),中央里、普慶里、普義里,桃園市中壢老人會,桃園市中壢中央里區元化路182-2號2樓,24.9601041,121.227427
其他(人民團體、社區發展協會、學校),龍興里,桃園市中壢區龍興社區發展協會,桃園市中壢區龍興里13鄰龍岡路3段37巷92弄102號,24.9392125,121.2321902
其他(人民團體、社區發展協會、學校),洽溪里、青埔里、芝芭里,桃園市中壢區洽溪社區發展協會,桃園市中壢區洽溪里民權路4段546號,25.0087636,121.2020347
其他(人民團體、社區發展協會、學校),過嶺里、高雙里,桃園市中壢區過嶺社區發展協會,桃園市中壢區過嶺里雙福路9號,24.9600529,121.1767211
其他(人民團體、社區發展協會、學校),山東里,桃園市中壢區山東社區發展協會,桃園市中壢區山東里9鄰山東路1010號,25.0159863,121.1722655
其他(人民團體、社區發展協會、學校),信義里、明德里、普忠里,財團法人桃園市亮詮公益慈善基金會,桃園市中壢區信義里嘉善街37-39號,24.9516414,121.2338018
其他(人民團體、社區發展協會、學校),林森里、新興里、明德里、健行里、東興里,社團法人台灣樂活服務發展協會(執信據點),桃園市中壢區林森里執信一街167號,24.9447132,121.2267278
